PA_ID,NAME,TYPE,TYPE_ABBR,IUCN,NRS_PA,GAZ_AREA,GIS_AREA,REPT_AREA,GAZ_DATE,LATEST_GAZ,STATE,AUTHORITY,DATASOURCE,GOVERNANCE,COMMENTS,ENVIRON,OVERLAP,X_COORD,Y_COORD,MGT_PLAN,RES_NUMBER,SHAPE_AREA,SHAPE_LEN
ACT_29,Gungaderra Grassland,Nature Reserve,NR,IV,Y,0.00000000,274.77513594,274.77513594,15/12/1995,15/12/1995,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.12277697,-35.20965440,M,ACT29,0.00027200042,0.10095868500
ACT_30,Mulanggari Grassland,Nature Reserve,NR,IV,Y,0.00000000,119.36195037,119.36195037,15/12/1995,15/12/1995,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.13611945,-35.19417337,M,ACT30,0.00011813443,0.04635730325
ACT_32,Percival Hill,Nature Reserve,NR,IV,Y,0.00000000,79.18083131,79.18083131,18/05/2006,18/05/2006,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.09886412,-35.19609240,M,ACT32,0.00007836839,0.04019083297
ACT_33,Goorooyarroo,Nature Reserve,NR,IV,Y,0.00000000,702.34395228,702.34395228,25/08/2006,25/08/2006,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.18449200,-35.19464957,M,ACT33,0.00069511361,0.16623822953
ACT_34,Callum Brae,Nature Reserve,NR,IV,Y,0.00000000,143.32552272,143.32552272,31/03/2008,31/03/2008,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.14134560,-35.35822163,M,ACT34,0.00014213421,0.07676413360
ACT_35,West Jerrabomberra,Nature Reserve,NR,IV,Y,0.00000000,260.91135028,260.91135028,31/03/2008,31/03/2008,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.16016850,-35.37187108,M,ACT35,0.00025878623,0.09655897811
ACT_40,Molonglo Gorge,Nature Reserve,NR,IV,Y,0.00000000,990.02925883,990.02925883,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.25859855,-35.32720790,N,ACT40,0.00098123301,0.46324484912
CWTH_01,Australian National,Botanic Gardens (Commonwealth),BG (COM),IV,Y,0.00000000,84.41072348,84.41072348,11/07/1980,17/09/1991,ACT,DOE,DOE,G,,T,1,149.10711057,-35.27437824,M,CWTH01,0.00008362657,0.07045236652
ACT_23,The Pinnacle,Nature Reserve,NR,IV,Y,0.00000000,135.62405014,135.62405014,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.04143587,-35.25843952,M,ACT23,0.00013433374,0.07855198228
ACT_41,Namadgi,Wilderness Zone,WZ,IB,Y,0.00000000,28876.63925871,28876.63925871,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,148.87356933,-35.67944897,M,ACT41,0.02875032601,1.00673018816
ACT_21,Red Hill,Nature Reserve,NR,IV,Y,0.00000000,298.13764325,298.13764325,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.11191395,-35.32326311,M,ACT21,0.00029556341,0.12330287781
ACT_27,Mulligans Flat,Nature Reserve,NR,IV,Y,0.00000000,812.09361103,812.09361103,20/05/1994,31/07/2012,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.16493172,-35.16741022,M,ACT27,0.00080345282,0.20143381640
ACT_25,Urambi Hills,Nature Reserve,NR,IV,Y,0.00000000,238.95555521,238.95555521,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.05001869,-35.40137834,M,ACT25,0.00023709324,0.08308692067
ACT_39,Namadgi,National Park,NP,II,Y,0.00000000,77780.88680584,77780.88680584,14/09/1993,18/03/2013,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.02276518,-35.78802120,N?,ACT39,0.07738777754,2.86544837221
ACT_22,Rob Roy,Nature Reserve,NR,IV,Y,0.00000000,2048.38984331,2048.38984331,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.12016152,-35.49697995,M,ACT22,0.00203479982,0.27289529636
ACT_37,Gigerline,Nature Reserve,NR,IV,Y,0.00000000,1476.23665671,1476.23665671,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.10991510,-35.56133535,M,ACT37,0.00146742277,0.28050949117
ACT_38,Lower Molonglo River Corridor,Nature Reserve,NR,IV,Y,0.00000000,568.90351940,568.90351940,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,148.99168920,-35.26199559,M,ACT38,0.00056352956,0.22279408119
ACT_01,Bullen Range,Nature Reserve,NR,IV,Y,0.00000000,4024.28265149,4024.28265149,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,148.99719675,-35.39906395,M,ACT01,0.00399254657,0.55761533171
ACT_05,Cooleman Ridge,Nature Reserve,NR,IV,Y,0.00000000,191.85854300,191.85854300,14/09/1993,14/09/1993,ACT,ACT_TAMSD,ACT_TAMSD,G,,T,1,149.03477170,-35.36338418,M,ACT05,0.00019027167,0.10654167633
VIC_3446,Millewa,Reference Area,RA,IA,Y,693.00000000,7.31885428,7.31885428,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,141.02667236,-34.18435669,M,3446,0.00000715696,0.01979640213
VIC_3447,Lake Walla Walla,Reference Area,RA,IA,Y,996.00000000,996.49585565,996.49585565,25/06/1998,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,141.13043213,-34.17108917,M,3447,0.00097435015,0.13270487882
VIC_3449,Chalka Creek,Reference Area,RA,IA,Y,329.00000000,329.16326040,329.16326040,25/06/1998,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,142.48272705,-34.71566010,M,3449,0.00032391594,0.07419540854
VIC_3450,Kia,Reference Area,RA,IA,Y,1076.00000000,1076.93208448,1076.93208448,25/06/1998,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,142.31455994,-34.79613495,M,3450,0.00106077767,0.13031364488
VIC_3451,Purnya,Reference Area,RA,IA,Y,892.00000000,892.40733378,892.40733378,25/06/1998,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,141.62371826,-35.03651047,M,3451,0.00088155341,0.11927163851
VIC_3454,Dattuck,Reference Area,RA,IA,Y,1644.00000000,1644.46932225,1644.46932225,22/12/1982,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,142.23051453,-35.57044220,M,3454,0.00163503223,0.16616906822
VIC_3455,Telopea Downs,Reference Area,RA,IA,Y,2209.00000000,2211.11279110,2211.11279110,19/12/1984,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,141.29847717,-35.91015244,M,3455,0.00220765483,0.19099296188
VIC_3456,Toupnein Creek,Reference Area,RA,IA,Y,1659.00000000,18.79777726,18.79777726,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,141.09214783,-34.05926895,M,3456,0.00001835682,0.16707562048
VIC_3456,Toupnein Creek,Reference Area,RA,IA,Y,1659.00000000,1632.34850828,1632.34850828,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,,T,2,141.12042236,-34.07997513,M,3456,0.00159428334,0.23688218713
VIC_3458,Settlement Road,Reference Area,RA,IA,Y,2662.00000000,2663.97476443,2663.97476443,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,141.22665405,-34.57898331,M,3458,0.00261664169,0.27444493865
VIC_3459,Millewa South,Reference Area,RA,IA,Y,2367.00000000,2368.69831690,2368.69831690,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,141.13362122,-34.75865555,M,3459,0.00233212976,0.19424661124
VIC_3510,Disappointment,Reference Area,RA,IA,Y,1225.00000000,1225.34856877,1225.34856877,25/02/1981,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,145.17364502,-37.43537521,M,3510,0.00124750143,0.16120046368
VIC_3512,Deep Creek,Reference Area,RA,IA,Y,1190.00000000,1190.58747975,1190.58747975,1/04/1983,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,145.79954529,-37.59770584,M,3512,0.00121470702,0.14837963515
VIC_3513,Walsh Creek,Reference Area,RA,IA,Y,924.00000000,925.05795332,925.05795332,20/06/1990,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,145.96647644,-37.62351227,M,3513,0.00094412015,0.14977265069
VIC_3514,Mount Gregory,Reference Area,RA,IA,Y,891.00000000,891.39991380,891.39991380,20/06/1990,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,146.09536743,-37.69174957,M,3514,0.00091059117,0.14954342723
VIC_3516,Bennie Creek,Reference Area,RA,IA,Y,199.00000000,198.84499276,198.84499276,24/08/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,145.90646362,-37.82558823,M,3516,0.00020348763,0.05807388574
VIC_3517,Hawthorn Creek,Reference Area,RA,IA,Y,445.00000000,418.23985375,418.23985375,16/02/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.06448364,-37.91020203,M,3517,0.00042848843,0.09275700804
VIC_3519,Eaglehawk Creek,Reference Area,RA,IA,Y,322.00000000,321.93060774,321.93060774,29/12/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.53321838,-38.04792404,M,3519,0.00033042608,0.10619927949
VIC_3520,French Island (north),Reference Area,RA,IA,Y,201.00000000,186.49433188,186.49433188,25/02/1981,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,145.33355713,-38.30910492,M,3520,0.00019209523,0.06310489748
VIC_3521,French Island (east),Reference Area,RA,IA,Y,317.00000000,311.20736263,311.20736263,25/02/1981,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,145.47023010,-38.33889008,M,3521,0.00032067538,0.07697046972
VIC_3522,Pretty Creek,Reference Area,RA,IA,Y,143.00000000,0.00029090,0.00029090,25/06/1998,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.21641541,-37.98760986,M,3522,0.00000000030,0.00092231051
VIC_3522,Pretty Creek,Reference Area,RA,IA,Y,143.00000000,172.16816357,172.16816357,25/06/1998,,VIC,VIC_DEPI,VIC_DEPI,G,,T,2,146.22406006,-37.99284744,M,3522,0.00017658224,0.06082087707
VIC_3523,Joey Creek,Reference Area,RA,IA,Y,232.00000000,231.59286812,231.59286812,2/09/1981,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,145.20645142,-37.46907806,M,3523,0.00023588426,0.06393252443
VIC_3527,Glen Creek,Reference Area,RA,IA,Y,392.00000000,392.24053639,392.24053639,16/02/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,145.95408630,-36.95641708,M,3527,0.00039684539,0.08393962069
VIC_3528,Blue Range,Reference Area,RA,IA,Y,397.00000000,396.36320054,396.36320054,16/02/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.10432434,-36.88637543,M,3528,0.00040065845,0.08363662902
VIC_3530,Pilot Range,Reference Area,RA,IA,Y,518.00000000,0.01547106,0.01547106,16/02/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.76405334,-36.22679901,M,3530,0.00000001551,0.00838533077
VIC_3534,Pine Mountain,Reference Area,RA,IA,Y,465.00000000,465.40981879,465.40981879,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,147.83616638,-36.00644302,M,3534,0.00046524318,0.09472494080
VIC_3536,Lucyvale Creek,Reference Area,RA,IA,Y,589.00000000,589.61164267,589.61164267,29/06/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.53947449,-36.26263428,M,3536,0.00059130257,0.11300063375
VIC_3537,Cudgewa Creek,Reference Area,RA,IA,Y,803.00000000,803.46075180,803.46075180,22/12/1982,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.57823181,-36.33065414,M,3537,0.00080644464,0.14162436777
VIC_3538,Burbibyong Creek,Reference Area,RA,IA,Y,1322.00000000,1322.51781867,1322.51781867,29/06/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.88056946,-36.33691025,M,3538,0.00132753538,0.15583710000
VIC_3524,Yan Yean (north),Reference Area,RA,IA,Y,88.00000000,88.24404464,88.24404464,24/07/1985,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,145.15681458,-37.52405167,M,3524,0.00008994430,0.03979834252
VIC_3525,Yan Yean (south),Reference Area,RA,IA,Y,205.00000000,204.76568660,204.76568660,3/10/1984,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,145.16084290,-37.54016113,M,3525,0.00020875441,0.06061257538
VIC_3526,Toorour,Reference Area,RA,IA,Y,486.00000000,486.49568911,486.49568911,1/04/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,145.92936707,-36.83423233,M,3526,0.00049143816,0.09348126063
VIC_3529,Ryan Creek,Reference Area,RA,IA,Y,307.00000000,306.78496101,306.78496101,22/02/1984,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.22834778,-36.82325745,M,3529,0.00030985790,0.07199078173
VIC_3530,Pilot Range,Reference Area,RA,IA,Y,518.00000000,515.30439799,515.30439799,16/02/1983,,VIC,VIC_DEPI,VIC_DEPI,G,,T,2,146.76300049,-36.23892593,M,3530,0.00051661703,0.13671876649
VIC_3531,Mitta Mitta,Reference Area,RA,IA,Y,678.00000000,678.46511396,678.46511396,4/08/1982,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.36929321,-36.44408417,M,3531,0.00068195510,0.11398664335
VIC_3532,Bungil,Reference Area,RA,IA,Y,1648.00000000,1649.03321808,1649.03321808,17/09/1974,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.42376709,-36.05506897,M,3532,0.00164942845,0.21521055815
VIC_3533,Jemba,Reference Area,RA,IA,Y,944.00000000,944.23788328,944.23788328,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,147.72068787,-36.05052567,M,3533,0.00094441167,0.17018669170
VIC_3535,Dry Forest Creek,Reference Area,RA,IA,Y,1403.00000000,1404.38885009,1404.38885009,4/08/1982,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.43486023,-36.21495056,M,3535,0.00140755251,0.17475367388
VIC_3539,Cambatong,Reference Area,RA,IA,Y,185.00000000,185.19606520,185.19606520,25/06/1998,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.31492615,-37.00288391,M,3539,0.00018748456,0.06865683850
VIC_3540,White Box Ridge,Reference Area,RA,IA,Y,112.00000000,110.57288201,110.57288201,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,146.66577148,-36.16991043,M,3540,0.00011075839,0.04539994543
VIC_3542,Drum Top,Reference Area,RA,IA,Y,367.00000000,366.79106163,366.79106163,4/08/1982,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.28935242,-36.79673004,M,3542,0.00037033890,0.08114847021
VIC_3543,Mount Pleasant,Reference Area,RA,IA,Y,492.00000000,492.21077547,492.21077547,10/05/1979,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,146.48805237,-36.86418915,M,3543,0.00049739921,0.09235375023
VIC_3544,Mount Buffalo,Reference Area,RA,IA,Y,1167.00000000,1167.64896013,1167.64896013,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,146.72198486,-36.71380615,M,3544,0.00117769192,0.14771303124
VIC_3545,East Caledonia,Reference Area,RA,IA,Y,493.00000000,493.71200654,493.71200654,1/01/1900,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,146.70350647,-37.32591629,M,3545,0.00050191705,0.09367259094
VIC_3546,Wonnangatta River,Reference Area,RA,IA,Y,479.00000000,479.42262526,479.42262526,1/01/1900,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,146.86201477,-37.20100021,M,3546,0.00048659617,0.09792845228
VIC_3547,Mount McAdam,Reference Area,RA,IA,Y,231.00000000,231.47190301,231.47190301,1/01/1900,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,146.94065857,-37.33539581,M,3547,0.00023534793,0.06480829926
VIC_3548,Thirteen Mile Spur,Reference Area,RA,IA,Y,276.00000000,276.53911657,276.53911657,25/06/1998,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.21089172,-37.36637878,M,3548,0.00028128392,0.07986856508
VIC_3549,Blue Rag,Reference Area,RA,IA,Y,713.00000000,713.87386718,713.87386718,1/01/1900,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,147.05282593,-37.11796570,M,3549,0.00072377350,0.10819247326
VIC_3550,Boiler Plain,Reference Area,RA,IA,Y,827.00000000,827.29582606,827.29582606,11/07/1996,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,147.16966248,-37.03822327,M,3550,0.00083790189,0.13890099950
VIC_3551,Lagoon Plateau,Reference Area,RA,IA,Y,1045.00000000,0.00065532,0.00065532,19/12/1984,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.30297852,-37.14031601,M,3551,0.00000000066,0.00015764004
VIC_3551,Lagoon Plateau,Reference Area,RA,IA,Y,1045.00000000,1046.02027543,1046.02027543,19/12/1984,,VIC,VIC_DEPI,VIC_DEPI,G,,T,2,147.28221130,-37.13958359,M,3551,0.00106082389,0.15848600704
VIC_3553,Spring Creek,Reference Area,RA,IA,Y,683.00000000,683.08164481,683.08164481,4/08/1982,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.40997314,-37.20126343,M,3553,0.00069330489,0.11533427849
VIC_3557,Porphyry Hill,Reference Area,RA,IA,Y,222.00000000,0.03155088,0.03155088,4/08/1982,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,147.65187073,-36.89151001,M,3557,0.00000003189,0.00138525973
VIC_3557,Porphyry Hill,Reference Area,RA,IA,Y,222.00000000,221.85340709,221.85340709,4/08/1982,,VIC,VIC_DEPI,VIC_DEPI,G,,T,2,147.64646912,-36.88371658,M,3557,0.00022425002,0.06125749089
VIC_3541,King,Reference Area,RA,IA,Y,1019.00000000,1019.51960486,1019.51960486,4/08/1982,,VIC,VIC_DEPI,VIC_DEPI,G,,T,1,146.36285400,-36.90282440,M,3541,0.00103078620,0.15917316704
VIC_3552,Shepherds Creek,Reference Area,RA,IA,Y,684.00000000,684.62389702,684.62389702,19/12/1984,,VIC,VIC_DEPI,VIC_DEPI,G,This reserve is wholly with another reserve (i.e. 0verlapping) and is considered to be of secondary importance,T,2,147.28851318,-37.21599197,M,3552,0.00069500358,0.11452103286
